大区分	中区分	小区分（画面単位）	機能内容	画面ID	認証	レスポンシブ対応	URL	備考欄	
共通	ログイン機能	ログイン画面	"・ユーザー名とパスワードを入力しログインボタンを押下すると
　登録されているユーザーの権限ごとに異なるホーム画面に遷移できる。
　すでにログインしている場合はホーム画面に遷移する。
・管理者への問い合わせ送信画面に遷移できるボタンを実装する。"						
	ホーム	ホーム画面	・全権限で共通のホーム画面を表示する。自由に表示内容を決めていい（指定なし）						
		全画面共通	"・ログインユーザーの情報表示（名前、権限、所属）
・サイドバーはメインコンテンツと分離して共通化する。
・権限によって表示する内容を変更する。
　┗ 各権限で使用できる機能ごとに画面へのアクセスを制御する。
・ログアウト機能付きのボタン等を実装する"						
	問い合わせ管理	"問い合わせ送信画面
（未ログインユーザー向け）"	"・ログイン画面から遷移可能で未ログイン時に問い合わせが可能。
・管理者のみに送信可能。
・権限・所属・名前は自動的に任意の値で管理者に送信される。"						
		問い合わせ一覧画面	"・ログインユーザーと同じ権限、所属（管理者は所属なし）で
　┗ 保存されているお問い合わせのみを一覧で表示
　（問いあわせ内容、権限、所属、名前、送信日時、ステータス、詳細ボタン）
　　┗問い合わせ内容は全て表示せず、先頭の数文字だけ表示する ※文字数は自由
・絞り込み可能（ステータスで並び替え）
・登録されているお問い合わせを削除可能。お問い合わせ一覧で表示されないようにする。
　┗ 論理削除"						
		問い合わせ詳細画面	"・選択した問い合わせの内容表示
・ステータス変更可能
　┗未対応、対応中、対応済から選択可能して更新ができる。"						
"共通
（店舗・倉庫スタッフ）"	ユーザー管理	ユーザー一覧画面	"・登録されているユーザーを一覧で表示する。（名前	、性別、権限、所属）
　┗ ログインユーザーと同じ権限のユーザーのみ表示
　┗ 所属での絞り込み可能
・新規登録画面、各ユーザーのユーザー情報編集画面に遷移が可能"						
		ユーザー新規登録・編集画面	"・ユーザの追加、編集を行う。
・新規登録
　入力項目（名前、パスワード、性別、権限、所属）
　┗ 名前：255文字以内で入力可能、一意
　┗ パスワード：8文字以上の半角英数字（入力値をハッシュ化してDBに登録）
　┗ 性別：選択式でそれ以外の項目が来た場合エラー
　┗ 権限：自分と同じ権限のみ登録可能
　┗ 所属：店舗・倉庫スタッフは所属登録必須
・ユーザー情報編集
　編集可能項目：所属先のみ編集可能
　＊名前変更とパスワード変更不可（管理者のみが編集可能）"						
	"問い合わせ管理

"	問い合わせ送信画面	"・入力したお問い合わせ内容が保存されるようにする。
・入力項目（送信先、連携先、お問い合わせ内容）
　┗ 送信先：送信する権限を選択できる。操作者と異なる権限のみ選択が可能。
　┗ 連携先：送信先選択で店舗 / 倉庫を選択した場合のみ選択できるように制御する。
　　　　　　 連携管理画面で紐付けた相手だけ選択可能。
　┗ お問い合わせ内容：送信内容は入力必須（空欄不可）
　　　　　　　　　　　 255文字以内で入力可能"						
管理者	ユーザー管理	ユーザー一覧画面	"・全権限のユーザーを一覧で表示する。（名前、性別、権限、所属）
　┗ 権限ごとに絞り込み可能。
・新規登録画面、各ユーザーのユーザー情報編集画面に遷移が可能
・登録されているユーザーを削除可能。ユーザー一覧で表示されないようにする。
　┗ 論理削除"						
